German	Answer	Type	Category	Distractors	Level
Wir werden morgen das Museum ___ .	besichtigen	type	sentence	besichtigen|anschauen|besuchen|prüfen	A2
Wir müssen das Zimmer ___ .	aufräumen	type	sentence	aufräumen|sauber machen|schmutzig|werfen	A2
Wir haben ___ die Aufgaben erledigt.	alle	type	sentence	alle|sämtliche|einige|manche	A1
Wir gehen ___ am Samstag.	das Einkaufen	type	sentence	das Einkaufen|shoppen|kochen|essen	A1
Mein Auto ist ___ dem deines Bruders.	ähnlich	type	sentence	ähnlich|gleich|anders|verschieden	A1
Kannst du bitte die Tür ___ ?	aufmachen	type	sentence	aufmachen|öffnen|schließen|zukleben	A1
Ich sitze in dem ___ und lese ein Buch.	Sessel	type	sentence	Sessel|Stuhl|Sofa|Tisch	A1
Ich muss meine Hausaufgaben bis morgen ___ .	abgeben	type	sentence	abgeben|abliefern|behalten|nehmen	A1
Ich muss mein Handy ___ .	aufladen	type	sentence	aufladen|aufpumpen|entladen|ausschalten	A2
Ich muss jetzt ___ .	aufhören	type	sentence	aufhören|beenden|fortsetzen|starten	A2
Ich muss früh ___ .	aufstehen	type	sentence	aufstehen|aufwachen|liegen bleiben|schlafen	A1
Ich liebe ___ im Sommer.	das Eis	type	sentence	das Eis|das Sorbet|der Kuchen|der Apfel	A2
Ich lese jeden Abend ein Buch, aber ___ sehe ich lieber fern.	abends	type	sentence	abends|am Abend|morgens|nachts	A2
Ich habe gestern das Geschirr ___ .	abgewaschen	type	sentence	abgewaschen|gespült|dreckig|trocken	A2
Ich habe das Geschirr schon ___ .	abgewaschen	type	sentence	abgewaschen|gereinigt|verschmutzt|nass	A2
Die Kinder müssen ___ .	aufpassen	type	sentence	aufpassen|achten|ignorieren|übersehen	A1
Die ___ von meinem Date sind hellgrün.	die Augen	type	sentence	die Augen|das Gesicht|die Nase|der Mund	A2
Das ist nur eine ___ !	Ausrede	type	sentence	Ausrede|Entschuldigung|Wahrheit|Erklärung	A2
Das ist meine ___ .	Schwester	type	sentence	Schwester|Bruder|Cousin|Tante	A1
Das ist mein ___ .	Vater	type	sentence	Vater|Mutter|Onkel|Freund	A1
Das ist ein ___ von meinem ersten Pferd.	Foto	type	sentence	Foto|Bild|Gemälde|Text	A1
Das ist ein ___ !	Notfall	type	sentence	Notfall|Krise|Routine|Plan	A1
Das ist die ___, die mein Pferd benutzt.	Zahnbürste	type	sentence	Zahnbürste|Pinsel|Kamm|Löffel	A1
Das ist dein ___ .	Lieblingslied	type	sentence	Lieblingslied|Lieblingsfilm|Lied|Film	A2
Das ist ___ sondern Bier.	kein Saft	type	sentence	kein Saft|Wasser|Limonade|Tee	A2
Das ist ___ .	egal	type	sentence	egal|unwichtig|bedeutend|relevant	A1
Das ___ ist leer.	das Bücherregal	type	sentence	das Bücherregal|der Schrank|der Tisch|das Sofa	A2
Das ___ ist eng.	das Hemd	type	sentence	das Hemd|die Bluse|der Pullover|die Jacke	A2
Das ___ auf dem Bild zeigt mich.	das bin ich	type	sentence	das bin ich|das bist du|das sind wir|das ist er	A2
das ___	Date	type	sentence	Date|Treffen|Termin|Rendezvous	A1
Alle sagen, dass das ___ schnell war.	WLAN	type	sentence	WLAN|Internet|Netzwerk|Verbindung	A2
